# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000010000000000000000000 
# Calibration mask = 00000000000010000000000000000000 
# Threshold = 210 
# FineTHR[0] = 111 
# FineTHR[1] = 111 
# FineTHR[2] = 111 
# FineTHR[3] = 111 
# FineTHR[4] = 111 
# FineTHR[5] = 111 
# FineTHR[6] = 111 
# FineTHR[7] = 111 
# FineTHR[8] = 111 
# FineTHR[9] = 111 
# FineTHR[10] = 111 
# FineTHR[11] = 111 
# FineTHR[12] = 111 
# FineTHR[13] = 111 
# FineTHR[14] = 111 
# FineTHR[15] = 111 
# FineTHR[16] = 111 
# FineTHR[17] = 111 
# FineTHR[18] = 111 
# FineTHR[19] = 000 
# FineTHR[20] = 111 
# FineTHR[21] = 111 
# FineTHR[22] = 000 
# FineTHR[23] = 111 
# FineTHR[24] = 111 
# FineTHR[25] = 010 
# FineTHR[26] = 000 
# FineTHR[27] = 011 
# FineTHR[28] = 111 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 111 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
210	0	1000	0	0
210	0	1000	0	1
210	0	1000	0	2
210	0	1000	0	3
210	0	1000	0	4
210	0	1000	0	5
210	0	1000	0	6
210	0	1000	0	7
210	0	1000	0	8
210	0	1000	0	9
210	0	1000	0	10
210	0	1000	0	11
210	0	1000	0	12
210	0	1000	0	13
210	0	1000	0	14
210	0	1000	0	15
210	0	1000	0	16
210	0	1000	0	17
210	0	1000	0	18
210	0	1000	0	19
210	0	1000	0	20
210	0	1000	0	21
210	0	1000	0	22
210	0	1000	0	23
210	0	1000	0	24
210	0	1000	0	25
210	0	1000	0	26
210	0	1000	0	27
210	0	1000	0	28
210	0	1000	0	29
210	0	1000	0	30
210	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
210	1	1000	0	0
210	1	1000	0	1
210	1	1000	0	2
210	1	1000	0	3
210	1	1000	0	4
210	1	1000	0	5
210	1	1000	0	6
210	1	1000	0	7
210	1	1000	0	8
210	1	1000	0	9
210	1	1000	0	10
210	1	1000	0	11
210	1	1000	0	12
210	1	1000	0	13
210	1	1000	0	14
210	1	1000	0	15
210	1	1000	0	16
210	1	1000	0	17
210	1	1000	0	18
210	1	1000	0	19
210	1	1000	0	20
210	1	1000	0	21
210	1	1000	0	22
210	1	1000	0	23
210	1	1000	0	24
210	1	1000	0	25
210	1	1000	0	26
210	1	1000	0	27
210	1	1000	0	28
210	1	1000	0	29
210	1	1000	0	30
210	1	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
210	2	1000	0	0
210	2	1000	0	1
210	2	1000	0	2
210	2	1000	0	3
210	2	1000	0	4
210	2	1000	0	5
