# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000001 
# Calibration mask = 00000000000000000000000000000001 
# Threshold = 214 
# FineTHR[0] = 011 
# FineTHR[1] = 000 
# FineTHR[2] = 111 
# FineTHR[3] = 010 
# FineTHR[4] = 000 
# FineTHR[5] = 111 
# FineTHR[6] = 000 
# FineTHR[7] = 111 
# FineTHR[8] = 111 
# FineTHR[9] = 110 
# FineTHR[10] = 000 
# FineTHR[11] = 011 
# FineTHR[12] = 000 
# FineTHR[13] = 101 
# FineTHR[14] = 101 
# FineTHR[15] = 010 
# FineTHR[16] = 000 
# FineTHR[17] = 110 
# FineTHR[18] = 101 
# FineTHR[19] = 110 
# FineTHR[20] = 111 
# FineTHR[21] = 111 
# FineTHR[22] = 000 
# FineTHR[23] = 111 
# FineTHR[24] = 111 
# FineTHR[25] = 010 
# FineTHR[26] = 000 
# FineTHR[27] = 011 
# FineTHR[28] = 111 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 111 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
214	0	1000	1	0
214	0	1000	0	1
214	0	1000	0	2
214	0	1000	0	3
214	0	1000	0	4
214	0	1000	0	5
214	0	1000	0	6
214	0	1000	0	7
214	0	1000	0	8
214	0	1000	0	9
214	0	1000	0	10
214	0	1000	0	11
214	0	1000	0	12
214	0	1000	0	13
214	0	1000	0	14
214	0	1000	0	15
214	0	1000	0	16
214	0	1000	0	17
214	0	1000	0	18
214	0	1000	0	19
214	0	1000	0	20
214	0	1000	0	21
214	0	1000	0	22
214	0	1000	0	23
214	0	1000	0	24
214	0	1000	0	25
214	0	1000	0	26
214	0	1000	0	27
214	0	1000	0	28
214	0	1000	0	29
214	0	1000	0	30
214	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
214	1	1000	0	0
214	1	1000	0	1
214	1	1000	0	2
214	1	1000	0	3
214	1	1000	0	4
214	1	1000	0	5
214	1	1000	0	6
214	1	1000	0	7
214	1	1000	0	8
214	1	1000	0	9
214	1	1000	0	10
214	1	1000	0	11
214	1	1000	0	12
214	1	1000	0	13
214	1	1000	0	14
214	1	1000	0	15
214	1	1000	0	16
214	1	1000	0	17
214	1	1000	0	18
214	1	1000	0	19
214	1	1000	0	20
214	1	1000	0	21
214	1	1000	0	22
214	1	1000	0	23
214	1	1000	0	24
214	1	1000	0	25
214	1	1000	0	26
214	1	1000	0	27
214	1	1000	0	28
214	1	1000	0	29
214	1	1000	0	30
214	1	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
214	2	1000	0	0
214	2	1000	0	1
214	2	1000	0	2
214	2	1000	0	3
214	2	1000	0	4
214	2	1000	0	5
214	2	1000	0	6
214	2	1000	0	7
214	2	1000	0	8
214	2	1000	0	9
214	2	1000	0	10
214	2	1000	0	11
214	2	1000	0	12
214	2	1000	0	13
214	2	1000	0	14
214	2	1000	0	15
214	2	1000	0	16
214	2	1000	0	17
214	2	1000	0	18
214	2	1000	0	19
214	2	1000	0	20
214	2	1000	0	21
214	2	1000	0	22
214	2	1000	0	23
214	2	1000	0	24
214	2	1000	0	25
214	2	1000	0	26
214	2	1000	0	27
214	2	1000	0	28
214	2	1000	0	29
214	2	1000	0	30
214	2	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
214	3	1000	0	0
214	3	1000	0	1
214	3	1000	0	2
214	3	1000	0	3
214	3	1000	0	4
214	3	1000	0	5
214	3	1000	0	6
214	3	1000	0	7
214	3	1000	0	8
214	3	1000	0	9
214	3	1000	0	10
214	3	1000	0	11
214	3	1000	0	12
214	3	1000	0	13
214	3	1000	0	14
214	3	1000	0	15
214	3	1000	0	16
214	3	1000	0	17
214	3	1000	0	18
214	3	1000	0	19
214	3	1000	0	20
214	3	1000	0	21
214	3	1000	0	22
214	3	1000	0	23
214	3	1000	0	24
214	3	1000	0	25
214	3	1000	0	26
214	3	1000	0	27
214	3	1000	0	28
214	3	1000	0	29
214	3	1000	0	30
214	3	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
214	4	1000	0	0
214	4	1000	0	1
214	4	1000	0	2
214	4	1000	0	3
214	4	1000	0	4
214	4	1000	0	5
214	4	1000	0	6
214	4	1000	0	7
214	4	1000	0	8
214	4	1000	0	9
214	4	1000	0	10
214	4	1000	0	11
214	4	1000	0	12
214	4	1000	0	13
214	4	1000	0	14
214	4	1000	0	15
214	4	1000	0	16
214	4	1000	0	17
214	4	1000	0	18
214	4	1000	0	19
214	4	1000	0	20
214	4	1000	0	21
214	4	1000	0	22
214	4	1000	0	23
214	4	1000	0	24
214	4	1000	0	25
214	4	1000	0	26
214	4	1000	0	27
214	4	1000	0	28
214	4	1000	0	29
214	4	1000	0	30
214	4	1000	0	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
214	5	1000	0	0
214	5	1000	0	1
214	5	1000	0	2
214	5	1000	0	3
214	5	1000	0	4
214	5	1000	0	5
214	5	1000	0	6
214	5	1000	0	7
214	5	1000	0	8
214	5	1000	0	9
214	5	1000	0	10
214	5	1000	0	11
214	5	1000	0	12
214	5	1000	0	13
214	5	1000	0	14
214	5	1000	0	15
214	5	1000	0	16
214	5	1000	0	17
214	5	1000	0	18
214	5	1000	0	19
214	5	1000	0	20
214	5	1000	0	21
214	5	1000	0	22
214	5	1000	0	23
214	5	1000	0	24
214	5	1000	0	25
214	5	1000	0	26
214	5	1000	0	27
214	5	1000	0	28
214	5	1000	0	29
214	5	1000	0	30
214	5	1000	0	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
214	6	1000	0	0
214	6	1000	0	1
214	6	1000	0	2
214	6	1000	0	3
214	6	1000	0	4
214	6	1000	0	5
214	6	1000	0	6
214	6	1000	0	7
214	6	1000	0	8
214	6	1000	0	9
214	6	1000	0	10
214	6	1000	0	11
214	6	1000	0	12
214	6	1000	0	13
214	6	1000	0	14
214	6	1000	0	15
214	6	1000	0	16
214	6	1000	0	17
214	6	1000	0	18
214	6	1000	0	19
214	6	1000	0	20
214	6	1000	0	21
214	6	1000	0	22
214	6	1000	0	23
214	6	1000	0	24
214	6	1000	0	25
214	6	1000	0	26
214	6	1000	0	27
214	6	1000	0	28
214	6	1000	0	29
214	6	1000	0	30
214	6	1000	0	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
214	7	1000	0	0
214	7	1000	0	1
214	7	1000	0	2
214	7	1000	0	3
214	7	1000	0	4
214	7	1000	0	5
214	7	1000	0	6
214	7	1000	0	7
214	7	1000	0	8
214	7	1000	0	9
214	7	1000	0	10
214	7	1000	0	11
214	7	1000	0	12
214	7	1000	0	13
214	7	1000	0	14
214	7	1000	0	15
214	7	1000	0	16
214	7	1000	0	17
214	7	1000	0	18
214	7	1000	0	19
