# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 1011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 200 
# FineTHR[0] = 011 
# FineTHR[1] = 101 
# FineTHR[2] = 111 
# FineTHR[3] = 001 
# FineTHR[4] = 000 
# FineTHR[5] = 101 
# FineTHR[6] = 100 
# FineTHR[7] = 001 
# FineTHR[8] = 111 
# FineTHR[9] = 001 
# FineTHR[10] = 111 
# FineTHR[11] = 101 
# FineTHR[12] = 111 
# FineTHR[13] = 011 
# FineTHR[14] = 000 
# FineTHR[15] = 111 
# FineTHR[16] = 111 
# FineTHR[17] = 111 
# FineTHR[18] = 001 
# FineTHR[19] = 000 
# FineTHR[20] = 111 
# FineTHR[21] = 111 
# FineTHR[22] = 000 
# FineTHR[23] = 001 
# FineTHR[24] = 111 
# FineTHR[25] = 011 
# FineTHR[26] = 000 
# FineTHR[27] = 111 
# FineTHR[28] = 000 
# FineTHR[29] = 101 
# FineTHR[30] = 100 
# FineTHR[31] = 000 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	0	0
200	0	1000	0	1
200	0	1000	0	2
200	0	1000	0	3
200	0	1000	0	4
200	0	1000	0	5
200	0	1000	0	6
200	0	1000	0	7
200	0	1000	0	8
200	0	1000	0	9
200	0	1000	0	10
200	0	1000	0	11
200	0	1000	0	12
200	0	1000	0	13
200	0	1000	0	14
200	0	1000	0	15
200	0	1000	0	16
200	0	1000	0	17
200	0	1000	0	18
200	0	1000	0	19
200	0	1000	0	20
200	0	1000	1	21
200	0	1000	0	22
200	0	1000	0	23
200	0	1000	0	24
200	0	1000	0	25
200	0	1000	0	26
200	0	1000	0	27
200	0	1000	0	28
200	0	1000	0	29
200	0	1000	0	30
200	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
200	1	1000	0	0
200	1	1000	0	1
200	1	1000	0	2
200	1	1000	0	3
200	1	1000	0	4
200	1	1000	0	5
200	1	1000	0	6
200	1	1000	0	7
200	1	1000	0	8
200	1	1000	0	9
200	1	1000	0	10
200	1	1000	0	11
200	1	1000	0	12
200	1	1000	0	13
200	1	1000	0	14
200	1	1000	0	15
200	1	1000	0	16
200	1	1000	0	17
200	1	1000	0	18
200	1	1000	0	19
200	1	1000	0	20
200	1	1000	0	21
200	1	1000	0	22
200	1	1000	0	23
200	1	1000	0	24
200	1	1000	0	25
200	1	1000	0	26
200	1	1000	0	27
200	1	1000	0	28
200	1	1000	0	29
200	1	1000	0	30
200	1	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
200	2	1000	0	0
200	2	1000	0	1
200	2	1000	0	2
200	2	1000	0	3
200	2	1000	0	4
200	2	1000	0	5
200	2	1000	0	6
200	2	1000	0	7
200	2	1000	0	8
200	2	1000	0	9
200	2	1000	0	10
200	2	1000	0	11
200	2	1000	0	12
200	2	1000	0	13
200	2	1000	0	14
200	2	1000	0	15
200	2	1000	0	16
200	2	1000	0	17
200	2	1000	0	18
200	2	1000	0	19
200	2	1000	0	20
200	2	1000	0	21
200	2	1000	0	22
200	2	1000	0	23
200	2	1000	0	24
200	2	1000	0	25
200	2	1000	0	26
200	2	1000	0	27
200	2	1000	0	28
200	2	1000	0	29
200	2	1000	0	30
200	2	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
200	3	1000	0	0
200	3	1000	0	1
200	3	1000	0	2
200	3	1000	0	3
200	3	1000	0	4
200	3	1000	0	5
200	3	1000	0	6
200	3	1000	0	7
200	3	1000	0	8
200	3	1000	0	9
200	3	1000	0	10
200	3	1000	0	11
200	3	1000	0	12
200	3	1000	0	13
200	3	1000	0	14
200	3	1000	0	15
200	3	1000	0	16
200	3	1000	0	17
200	3	1000	0	18
200	3	1000	0	19
200	3	1000	0	20
200	3	1000	0	21
200	3	1000	0	22
200	3	1000	0	23
200	3	1000	0	24
200	3	1000	0	25
200	3	1000	0	26
200	3	1000	0	27
200	3	1000	0	28
200	3	1000	0	29
200	3	1000	0	30
200	3	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
200	4	1000	0	0
200	4	1000	0	1
200	4	1000	0	2
200	4	1000	0	3
200	4	1000	0	4
200	4	1000	0	5
200	4	1000	0	6
200	4	1000	0	7
200	4	1000	0	8
200	4	1000	0	9
200	4	1000	0	10
200	4	1000	0	11
200	4	1000	0	12
200	4	1000	0	13
200	4	1000	0	14
200	4	1000	0	15
200	4	1000	0	16
200	4	1000	0	17
200	4	1000	0	18
200	4	1000	0	19
200	4	1000	0	20
200	4	1000	0	21
200	4	1000	0	22
200	4	1000	0	23
200	4	1000	0	24
200	4	1000	0	25
200	4	1000	0	26
200	4	1000	0	27
200	4	1000	0	28
200	4	1000	0	29
200	4	1000	0	30
200	4	1000	0	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
200	5	1000	0	0
200	5	1000	0	1
200	5	1000	0	2
200	5	1000	0	3
200	5	1000	0	4
200	5	1000	0	5
200	5	1000	0	6
200	5	1000	0	7
200	5	1000	0	8
200	5	1000	0	9
200	5	1000	0	10
200	5	1000	0	11
200	5	1000	0	12
200	5	1000	0	13
200	5	1000	0	14
200	5	1000	0	15
200	5	1000	0	16
200	5	1000	0	17
200	5	1000	0	18
200	5	1000	0	19
200	5	1000	0	20
200	5	1000	0	21
200	5	1000	0	22
200	5	1000	0	23
200	5	1000	0	24
200	5	1000	0	25
200	5	1000	0	26
200	5	1000	0	27
200	5	1000	0	28
200	5	1000	0	29
200	5	1000	0	30
200	5	1000	0	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
200	6	1000	0	0
200	6	1000	0	1
200	6	1000	0	2
200	6	1000	0	3
200	6	1000	0	4
200	6	1000	0	5
200	6	1000	0	6
200	6	1000	0	7
200	6	1000	0	8
200	6	1000	0	9
200	6	1000	0	10
200	6	1000	0	11
200	6	1000	0	12
200	6	1000	0	13
200	6	1000	0	14
200	6	1000	0	15
200	6	1000	0	16
200	6	1000	0	17
200	6	1000	0	18
200	6	1000	0	19
200	6	1000	0	20
200	6	1000	0	21
200	6	1000	0	22
200	6	1000	0	23
200	6	1000	0	24
200	6	1000	0	25
200	6	1000	0	26
200	6	1000	0	27
200	6	1000	0	28
200	6	1000	0	29
200	6	1000	0	30
200	6	1000	0	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
200	7	1000	0	0
200	7	1000	0	1
200	7	1000	0	2
200	7	1000	0	3
