# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 101 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 206 
# FineTHR[0] = 010 
# FineTHR[1] = 111 
# FineTHR[2] = 010 
# FineTHR[3] = 111 
# FineTHR[4] = 111 
# FineTHR[5] = 011 
# FineTHR[6] = 010 
# FineTHR[7] = 111 
# FineTHR[8] = 110 
# FineTHR[9] = 110 
# FineTHR[10] = 001 
# FineTHR[11] = 000 
# FineTHR[12] = 101 
# FineTHR[13] = 000 
# FineTHR[14] = 011 
# FineTHR[15] = 111 
# FineTHR[16] = 111 
# FineTHR[17] = 110 
# FineTHR[18] = 000 
# FineTHR[19] = 010 
# FineTHR[20] = 000 
# FineTHR[21] = 111 
# FineTHR[22] = 111 
# FineTHR[23] = 100 
# FineTHR[24] = 100 
# FineTHR[25] = 011 
# FineTHR[26] = 110 
# FineTHR[27] = 100 
# FineTHR[28] = 011 
# FineTHR[29] = 000 
# FineTHR[30] = 101 
# FineTHR[31] = 000 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	0	0
206	0	1000	0	1
206	0	1000	0	2
206	0	1000	0	3
206	0	1000	0	4
206	0	1000	0	5
206	0	1000	0	6
206	0	1000	0	7
206	0	1000	0	8
206	0	1000	0	9
206	0	1000	0	10
206	0	1000	0	11
206	0	1000	0	12
206	0	1000	0	13
206	0	1000	0	14
206	0	1000	0	15
206	0	1000	0	16
206	0	1000	0	17
206	0	1000	0	18
206	0	1000	0	19
206	0	1000	0	20
206	0	1000	0	21
206	0	1000	0	22
206	0	1000	0	23
206	0	1000	0	24
206	0	1000	0	25
206	0	1000	0	26
206	0	1000	0	27
206	0	1000	0	28
206	0	1000	4	29
206	0	1000	0	30
206	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
206	1	1000	0	0
206	1	1000	0	1
206	1	1000	0	2
206	1	1000	0	3
206	1	1000	0	4
206	1	1000	0	5
206	1	1000	0	6
206	1	1000	0	7
206	1	1000	0	8
206	1	1000	0	9
206	1	1000	0	10
206	1	1000	0	11
206	1	1000	0	12
206	1	1000	0	13
206	1	1000	0	14
206	1	1000	0	15
206	1	1000	0	16
206	1	1000	0	17
206	1	1000	0	18
206	1	1000	0	19
206	1	1000	0	20
206	1	1000	0	21
206	1	1000	0	22
206	1	1000	0	23
206	1	1000	0	24
206	1	1000	0	25
206	1	1000	0	26
206	1	1000	0	27
206	1	1000	0	28
206	1	1000	0	29
206	1	1000	0	30
206	1	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
206	2	1000	0	0
206	2	1000	0	1
206	2	1000	0	2
206	2	1000	0	3
206	2	1000	0	4
206	2	1000	0	5
206	2	1000	0	6
206	2	1000	0	7
206	2	1000	0	8
206	2	1000	0	9
206	2	1000	0	10
206	2	1000	0	11
206	2	1000	0	12
206	2	1000	0	13
206	2	1000	0	14
206	2	1000	0	15
206	2	1000	0	16
206	2	1000	0	17
206	2	1000	0	18
206	2	1000	0	19
206	2	1000	0	20
206	2	1000	0	21
206	2	1000	0	22
206	2	1000	0	23
206	2	1000	0	24
206	2	1000	0	25
206	2	1000	0	26
206	2	1000	0	27
206	2	1000	0	28
206	2	1000	0	29
206	2	1000	0	30
206	2	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
206	3	1000	0	0
206	3	1000	0	1
206	3	1000	0	2
206	3	1000	0	3
206	3	1000	0	4
206	3	1000	0	5
206	3	1000	0	6
206	3	1000	0	7
206	3	1000	0	8
206	3	1000	0	9
206	3	1000	0	10
206	3	1000	0	11
206	3	1000	0	12
206	3	1000	0	13
206	3	1000	0	14
206	3	1000	0	15
206	3	1000	0	16
206	3	1000	0	17
206	3	1000	0	18
206	3	1000	0	19
206	3	1000	0	20
206	3	1000	0	21
206	3	1000	0	22
206	3	1000	0	23
206	3	1000	0	24
206	3	1000	0	25
206	3	1000	0	26
206	3	1000	0	27
206	3	1000	0	28
206	3	1000	0	29
206	3	1000	0	30
206	3	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
206	4	1000	0	0
206	4	1000	0	1
206	4	1000	0	2
206	4	1000	0	3
206	4	1000	0	4
206	4	1000	0	5
206	4	1000	0	6
206	4	1000	0	7
206	4	1000	0	8
206	4	1000	0	9
206	4	1000	0	10
206	4	1000	0	11
206	4	1000	0	12
206	4	1000	0	13
206	4	1000	0	14
206	4	1000	0	15
206	4	1000	0	16
206	4	1000	0	17
206	4	1000	0	18
206	4	1000	0	19
