# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 101 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 219 
# FineTHR[0] = 001 
# FineTHR[1] = 000 
# FineTHR[2] = 111 
# FineTHR[3] = 010 
# FineTHR[4] = 000 
# FineTHR[5] = 111 
# FineTHR[6] = 000 
# FineTHR[7] = 111 
# FineTHR[8] = 111 
# FineTHR[9] = 110 
# FineTHR[10] = 000 
# FineTHR[11] = 011 
# FineTHR[12] = 000 
# FineTHR[13] = 101 
# FineTHR[14] = 101 
# FineTHR[15] = 010 
# FineTHR[16] = 000 
# FineTHR[17] = 110 
# FineTHR[18] = 101 
# FineTHR[19] = 110 
# FineTHR[20] = 111 
# FineTHR[21] = 111 
# FineTHR[22] = 000 
# FineTHR[23] = 111 
# FineTHR[24] = 111 
# FineTHR[25] = 010 
# FineTHR[26] = 000 
# FineTHR[27] = 011 
# FineTHR[28] = 111 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 111 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
219	0	1000	8	0
219	0	1000	4	1
219	0	1000	2	2
219	0	1000	3	3
219	0	1000	507	4
219	0	1000	3	5
219	0	1000	983	6
219	0	1000	0	7
219	0	1000	0	8
219	0	1000	25	9
219	0	1000	893	10
219	0	1000	4	11
219	0	1000	990	12
219	0	1000	2	13
219	0	1000	99	14
219	0	1000	178	15
219	0	1000	169	16
219	0	1000	47	17
219	0	1000	4	18
219	0	1000	155	19
219	0	1000	4	20
219	0	1000	60	21
219	0	1000	952	22
219	0	1000	112	23
219	0	1000	0	24
219	0	1000	3	25
219	0	1000	43	26
219	0	1000	4	27
219	0	1000	2	28
219	0	1000	1000	29
219	0	1000	1000	30
219	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
219	1	1000	0	0
219	1	1000	0	1
219	1	1000	0	2
219	1	1000	0	3
219	1	1000	614	4
219	1	1000	0	5
219	1	1000	995	6
219	1	1000	0	7
219	1	1000	0	8
219	1	1000	35	9
219	1	1000	943	10
219	1	1000	3	11
219	1	1000	993	12
219	1	1000	2	13
219	1	1000	128	14
219	1	1000	204	15
219	1	1000	230	16
219	1	1000	53	17
219	1	1000	0	18
219	1	1000	207	19
219	1	1000	1	20
219	1	1000	69	21
219	1	1000	959	22
219	1	1000	132	23
219	1	1000	0	24
219	1	1000	0	25
219	1	1000	55	26
219	1	1000	0	27
219	1	1000	0	28
219	1	1000	1000	29
219	1	1000	1000	30
219	1	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
219	2	1000	0	0
219	2	1000	0	1
219	2	1000	0	2
219	2	1000	0	3
219	2	1000	743	4
219	2	1000	2	5
219	2	1000	996	6
219	2	1000	0	7
219	2	1000	0	8
219	2	1000	75	9
219	2	1000	973	10
219	2	1000	7	11
219	2	1000	1000	12
219	2	1000	4	13
219	2	1000	228	14
219	2	1000	343	15
219	2	1000	358	16
219	2	1000	115	17
219	2	1000	2	18
219	2	1000	333	19
219	2	1000	1	20
219	2	1000	148	21
219	2	1000	988	22
219	2	1000	219	23
219	2	1000	0	24
219	2	1000	0	25
219	2	1000	141	26
219	2	1000	0	27
219	2	1000	0	28
219	2	1000	1000	29
219	2	1000	1000	30
219	2	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
219	3	1000	5	0
219	3	1000	0	1
219	3	1000	0	2
219	3	1000	0	3
219	3	1000	831	4
219	3	1000	6	5
219	3	1000	999	6
219	3	1000	0	7
219	3	1000	0	8
219	3	1000	131	9
219	3	1000	988	10
219	3	1000	19	11
219	3	1000	1000	12
219	3	1000	13	13
219	3	1000	349	14
219	3	1000	434	15
219	3	1000	442	16
219	3	1000	205	17
219	3	1000	9	18
219	3	1000	448	19
219	3	1000	6	20
219	3	1000	251	21
219	3	1000	989	22
219	3	1000	304	23
219	3	1000	0	24
219	3	1000	0	25
219	3	1000	256	26
219	3	1000	0	27
219	3	1000	0	28
219	3	1000	1000	29
219	3	1000	1000	30
219	3	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
219	4	1000	16	0
219	4	1000	1	1
219	4	1000	0	2
219	4	1000	0	3
219	4	1000	927	4
219	4	1000	6	5
219	4	1000	998	6
219	4	1000	0	7
219	4	1000	0	8
219	4	1000	217	9
219	4	1000	993	10
219	4	1000	43	11
219	4	1000	1000	12
219	4	1000	33	13
219	4	1000	462	14
219	4	1000	576	15
219	4	1000	554	16
219	4	1000	299	17
219	4	1000	25	18
219	4	1000	593	19
219	4	1000	12	20
219	4	1000	338	21
219	4	1000	994	22
219	4	1000	377	23
219	4	1000	0	24
219	4	1000	0	25
219	4	1000	405	26
219	4	1000	1	27
219	4	1000	0	28
219	4	1000	1000	29
219	4	1000	1000	30
219	4	1000	0	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
219	5	1000	31	0
219	5	1000	3	1
219	5	1000	0	2
219	5	1000	5	3
219	5	1000	955	4
219	5	1000	11	5
219	5	1000	1000	6
219	5	1000	0	7
219	5	1000	0	8
219	5	1000	301	9
219	5	1000	996	10
219	5	1000	83	11
219	5	1000	1000	12
219	5	1000	55	13
219	5	1000	604	14
219	5	1000	683	15
219	5	1000	692	16
219	5	1000	461	17
219	5	1000	57	18
219	5	1000	694	19
219	5	1000	28	20
219	5	1000	465	21
219	5	1000	995	22
219	5	1000	481	23
219	5	1000	0	24
219	5	1000	2	25
219	5	1000	613	26
219	5	1000	7	27
219	5	1000	0	28
219	5	1000	1000	29
219	5	1000	1000	30
219	5	1000	0	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
219	6	1000	92	0
219	6	1000	22	1
219	6	1000	0	2
219	6	1000	11	3
219	6	1000	978	4
219	6	1000	35	5
219	6	1000	999	6
219	6	1000	0	7
219	6	1000	0	8
219	6	1000	475	9
219	6	1000	997	10
219	6	1000	132	11
219	6	1000	999	12
219	6	1000	117	13
219	6	1000	738	14
219	6	1000	812	15
219	6	1000	799	16
219	6	1000	604	17
219	6	1000	102	18
219	6	1000	801	19
219	6	1000	56	20
219	6	1000	575	21
219	6	1000	1000	22
219	6	1000	580	23
219	6	1000	0	24
219	6	1000	10	25
219	6	1000	781	26
219	6	1000	26	27
219	6	1000	0	28
219	6	1000	1000	29
219	6	1000	1000	30
219	6	1000	0	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
219	7	1000	158	0
219	7	1000	38	1
219	7	1000	0	2
219	7	1000	22	3
219	7	1000	993	4
219	7	1000	43	5
219	7	1000	1000	6
219	7	1000	0	7
219	7	1000	0	8
219	7	1000	565	9
219	7	1000	999	10
219	7	1000	236	11
219	7	1000	1000	12
219	7	1000	175	13
219	7	1000	804	14
219	7	1000	898	15
219	7	1000	852	16
219	7	1000	734	17
219	7	1000	156	18
219	7	1000	879	19
219	7	1000	93	20
219	7	1000	652	21
219	7	1000	1000	22
219	7	1000	657	23
219	7	1000	0	24
219	7	1000	17	25
219	7	1000	867	26
219	7	1000	53	27
219	7	1000	0	28
219	7	1000	1000	29
219	7	1000	1000	30
219	7	1000	0	31
# Event data block #9
# Threshold	DAC	Events	Triggered	CH#
219	8	1000	301	0
219	8	1000	99	1
219	8	1000	0	2
219	8	1000	77	3
219	8	1000	1000	4
219	8	1000	84	5
219	8	1000	1000	6
219	8	1000	0	7
219	8	1000	0	8
219	8	1000	686	9
219	8	1000	1000	10
219	8	1000	343	11
219	8	1000	1000	12
219	8	1000	297	13
219	8	1000	898	14
219	8	1000	932	15
219	8	1000	910	16
219	8	1000	835	17
219	8	1000	288	18
219	8	1000	927	19
219	8	1000	152	20
219	8	1000	776	21
219	8	1000	999	22
219	8	1000	756	23
219	8	1000	0	24
219	8	1000	68	25
219	8	1000	944	26
219	8	1000	159	27
219	8	1000	0	28
219	8	1000	1000	29
219	8	1000	1000	30
219	8	1000	0	31
# Event data block #10
# Threshold	DAC	Events	Triggered	CH#
219	9	1000	458	0
219	9	1000	234	1
219	9	1000	0	2
219	9	1000	132	3
219	9	1000	1000	4
219	9	1000	139	5
219	9	1000	1000	6
219	9	1000	0	7
219	9	1000	0	8
219	9	1000	759	9
219	9	1000	1000	10
219	9	1000	455	11
219	9	1000	1000	12
219	9	1000	440	13
219	9	1000	939	14
219	9	1000	964	15
219	9	1000	943	16
219	9	1000	898	17
219	9	1000	416	18
219	9	1000	959	19
219	9	1000	274	20
219	9	1000	793	21
219	9	1000	1000	22
219	9	1000	823	23
219	9	1000	0	24
219	9	1000	148	25
219	9	1000	982	26
219	9	1000	302	27
219	9	1000	0	28
219	9	1000	1000	29
219	9	1000	1000	30
219	9	1000	0	31
# Event data block #11
# Threshold	DAC	Events	Triggered	CH#
219	10	1000	590	0
219	10	1000	375	1
219	10	1000	1	2
219	10	1000	237	3
219	10	1000	1000	4
219	10	1000	207	5
219	10	1000	1000	6
219	10	1000	1	7
219	10	1000	0	8
219	10	1000	824	9
219	10	1000	1000	10
219	10	1000	573	11
219	10	1000	1000	12
219	10	1000	558	13
219	10	1000	977	14
219	10	1000	974	15
219	10	1000	976	16
219	10	1000	940	17
219	10	1000	548	18
219	10	1000	976	19
219	10	1000	393	20
219	10	1000	865	21
219	10	1000	1000	22
219	10	1000	865	23
219	10	1000	0	24
219	10	1000	259	25
219	10	1000	989	26
219	10	1000	489	27
219	10	1000	0	28
219	10	1000	1000	29
219	10	1000	1000	30
219	10	1000	0	31
# Event data block #12
# Threshold	DAC	Events	Triggered	CH#
219	11	1000	771	0
219	11	1000	507	1
219	11	1000	4	2
219	11	1000	379	3
219	11	1000	1000	4
219	11	1000	309	5
219	11	1000	1000	6
219	11	1000	0	7
219	11	1000	0	8
219	11	1000	894	9
219	11	1000	1000	10
219	11	1000	680	11
219	11	1000	1000	12
219	11	1000	680	13
219	11	1000	982	14
219	11	1000	989	15
219	11	1000	982	16
219	11	1000	972	17
219	11	1000	661	18
219	11	1000	992	19
219	11	1000	502	20
219	11	1000	903	21
219	11	1000	1000	22
219	11	1000	890	23
219	11	1000	0	24
219	11	1000	389	25
219	11	1000	994	26
219	11	1000	633	27
219	11	1000	0	28
219	11	1000	1000	29
219	11	1000	1000	30
219	11	1000	0	31
# Event data block #13
# Threshold	DAC	Events	Triggered	CH#
219	12	1000	852	0
219	12	1000	654	1
219	12	1000	18	2
219	12	1000	516	3
219	12	1000	1000	4
219	12	1000	337	5
219	12	1000	1000	6
219	12	1000	0	7
219	12	1000	0	8
219	12	1000	929	9
219	12	1000	999	10
219	12	1000	772	11
219	12	1000	1000	12
219	12	1000	752	13
219	12	1000	991	14
219	12	1000	994	15
219	12	1000	990	16
219	12	1000	981	17
219	12	1000	762	18
219	12	1000	990	19
219	12	1000	590	20
219	12	1000	943	21
219	12	1000	1000	22
219	12	1000	934	23
219	12	1000	0	24
219	12	1000	545	25
219	12	1000	996	26
219	12	1000	790	27
219	12	1000	0	28
219	12	1000	1000	29
219	12	1000	1000	30
219	12	1000	0	31
# Event data block #14
# Threshold	DAC	Events	Triggered	CH#
219	13	1000	941	0
219	13	1000	807	1
219	13	1000	51	2
219	13	1000	703	3
219	13	1000	1000	4
219	13	1000	422	5
219	13	1000	1000	6
219	13	1000	0	7
219	13	1000	0	8
219	13	1000	953	9
219	13	1000	1000	10
219	13	1000	843	11
219	13	1000	1000	12
219	13	1000	847	13
219	13	1000	997	14
219	13	1000	997	15
219	13	1000	994	16
219	13	1000	994	17
219	13	1000	825	18
219	13	1000	996	19
219	13	1000	730	20
219	13	1000	968	21
219	13	1000	1000	22
219	13	1000	956	23
219	13	1000	0	24
219	13	1000	726	25
219	13	1000	1000	26
219	13	1000	906	27
219	13	1000	0	28
219	13	1000	1000	29
219	13	1000	1000	30
219	13	1000	0	31
# Event data block #15
# Threshold	DAC	Events	Triggered	CH#
219	14	1000	970	0
219	14	1000	912	1
219	14	1000	108	2
219	14	1000	809	3
219	14	1000	1000	4
219	14	1000	591	5
219	14	1000	1000	6
219	14	1000	1	7
219	14	1000	0	8
219	14	1000	976	9
219	14	1000	1000	10
219	14	1000	900	11
219	14	1000	1000	12
219	14	1000	912	13
219	14	1000	995	14
219	14	1000	998	15
219	14	1000	997	16
219	14	1000	991	17
219	14	1000	902	18
219	14	1000	995	19
219	14	1000	847	20
219	14	1000	979	21
219	14	1000	1000	22
219	14	1000	971	23
219	14	1000	0	24
219	14	1000	830	25
219	14	1000	999	26
219	14	1000	967	27
219	14	1000	2	28
219	14	1000	1000	29
219	14	1000	1000	30
219	14	1000	0	31
# Event data block #16
# Threshold	DAC	Events	Triggered	CH#
219	15	1000	989	0
219	15	1000	958	1
219	15	1000	184	2
219	15	1000	883	3
219	15	1000	1000	4
219	15	1000	655	5
219	15	1000	1000	6
219	15	1000	1	7
219	15	1000	0	8
219	15	1000	981	9
219	15	1000	1000	10
219	15	1000	944	11
219	15	1000	1000	12
219	15	1000	949	13
219	15	1000	999	14
219	15	1000	998	15
219	15	1000	997	16
219	15	1000	996	17
219	15	1000	928	18
219	15	1000	997	19
219	15	1000	873	20
219	15	1000	984	21
219	15	1000	1000	22
219	15	1000	978	23
219	15	1000	0	24
219	15	1000	910	25
219	15	1000	1000	26
219	15	1000	982	27
219	15	1000	4	28
219	15	1000	1000	29
219	15	1000	1000	30
219	15	1000	0	31
# Event data block #17
# Threshold	DAC	Events	Triggered	CH#
219	16	1000	998	0
219	16	1000	985	1
219	16	1000	296	2
219	16	1000	951	3
219	16	1000	1000	4
219	16	1000	727	5
219	16	1000	1000	6
219	16	1000	2	7
219	16	1000	7	8
219	16	1000	989	9
219	16	1000	1000	10
219	16	1000	965	11
219	16	1000	1000	12
219	16	1000	962	13
219	16	1000	1000	14
219	16	1000	1000	15
219	16	1000	1000	16
219	16	1000	998	17
219	16	1000	958	18
219	16	1000	999	19
219	16	1000	908	20
219	16	1000	989	21
219	16	1000	1000	22
219	16	1000	980	23
219	16	1000	0	24
219	16	1000	961	25
219	16	1000	1000	26
219	16	1000	994	27
219	16	1000	16	28
219	16	1000	1000	29
219	16	1000	1000	30
219	16	1000	0	31
# Event data block #18
# Threshold	DAC	Events	Triggered	CH#
219	17	1000	999	0
219	17	1000	995	1
219	17	1000	416	2
219	17	1000	972	3
219	17	1000	1000	4
219	17	1000	833	5
219	17	1000	1000	6
219	17	1000	8	7
219	17	1000	11	8
219	17	1000	998	9
219	17	1000	1000	10
219	17	1000	987	11
219	17	1000	1000	12
219	17	1000	990	13
219	17	1000	1000	14
219	17	1000	1000	15
219	17	1000	1000	16
219	17	1000	1000	17
219	17	1000	983	18
219	17	1000	1000	19
219	17	1000	948	20
219	17	1000	998	21
219	17	1000	1000	22
219	17	1000	997	23
219	17	1000	0	24
219	17	1000	986	25
219	17	1000	1000	26
219	17	1000	999	27
219	17	1000	23	28
219	17	1000	1000	29
219	17	1000	1000	30
219	17	1000	0	31
# Event data block #19
# Threshold	DAC	Events	Triggered	CH#
219	18	1000	1000	0
219	18	1000	999	1
219	18	1000	597	2
219	18	1000	986	3
219	18	1000	1000	4
219	18	1000	914	5
219	18	1000	1000	6
219	18	1000	20	7
219	18	1000	30	8
219	18	1000	998	9
219	18	1000	1000	10
219	18	1000	993	11
219	18	1000	1000	12
219	18	1000	993	13
219	18	1000	1000	14
219	18	1000	1000	15
219	18	1000	1000	16
219	18	1000	1000	17
219	18	1000	988	18
219	18	1000	999	19
219	18	1000	974	20
219	18	1000	998	21
219	18	1000	1000	22
219	18	1000	997	23
219	18	1000	0	24
219	18	1000	990	25
219	18	1000	1000	26
219	18	1000	1000	27
219	18	1000	121	28
219	18	1000	1000	29
219	18	1000	1000	30
219	18	1000	0	31
# Event data block #20
# Threshold	DAC	Events	Triggered	CH#
219	19	1000	1000	0
219	19	1000	999	1
219	19	1000	728	2
219	19	1000	996	3
219	19	1000	1000	4
219	19	1000	941	5
219	19	1000	1000	6
219	19	1000	72	7
219	19	1000	70	8
219	19	1000	996	9
219	19	1000	1000	10
219	19	1000	998	11
