# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 101 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 223 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
223	0	1000	1000	0
223	0	1000	1000	1
223	0	1000	2	2
223	0	1000	1000	3
223	0	1000	1000	4
223	0	1000	3	5
223	0	1000	1000	6
223	0	1000	1	7
223	0	1000	0	8
223	0	1000	438	9
223	0	1000	1000	10
223	0	1000	999	11
223	0	1000	1000	12
223	0	1000	519	13
223	0	1000	916	14
223	0	1000	1000	15
223	0	1000	1000	16
223	0	1000	466	17
223	0	1000	533	18
223	0	1000	637	19
223	0	1000	4	20
223	0	1000	61	21
223	0	1000	1000	22
223	0	1000	67	23
223	0	1000	0	24
223	0	1000	1000	25
223	0	1000	1000	26
223	0	1000	1000	27
223	0	1000	1	28
223	0	1000	1000	29
223	0	1000	1000	30
223	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
223	1	1000	1000	0
223	1	1000	1000	1
223	1	1000	0	2
223	1	1000	1000	3
223	1	1000	1000	4
223	1	1000	1	5
223	1	1000	1000	6
223	1	1000	0	7
223	1	1000	0	8
223	1	1000	541	9
223	1	1000	1000	10
223	1	1000	1000	11
223	1	1000	1000	12
223	1	1000	594	13
223	1	1000	955	14
223	1	1000	1000	15
223	1	1000	1000	16
223	1	1000	623	17
223	1	1000	668	18
223	1	1000	707	19
223	1	1000	1	20
223	1	1000	74	21
223	1	1000	1000	22
223	1	1000	74	23
223	1	1000	0	24
223	1	1000	1000	25
223	1	1000	1000	26
223	1	1000	1000	27
223	1	1000	0	28
223	1	1000	1000	29
223	1	1000	1000	30
223	1	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
223	2	1000	1000	0
223	2	1000	1000	1
223	2	1000	0	2
223	2	1000	1000	3
223	2	1000	1000	4
223	2	1000	3	5
223	2	1000	1000	6
223	2	1000	0	7
