ch	inj_ped	inj_chrthr
0	12.125164252382987	15.791200941457648
1	13.15922046802705	18.302173317945673
2	13.908458006119723	24.67056442994373
3	12.272526160290415	26.188746941765853
4	14.755158100081267	15.855608574816088
5	12.933832461046467	29.148502152962063
6	13.52524232931114	20.482610338925838
7	12.953923019714832	31.336485252451183
8	13.322561353977727	36.179888758700464
9	13.717924768502604	23.547320046611294
10	14.530704558478808	15.276432804138313
11	14.223365801569994	20.897555201398994
12	13.716336265778965	19.122287381424712
13	14.246540017003703	33.02959016755715
14	15.698292923417636	18.288746408684567
15	14.499494142073049	19.80214101426445
16	14.201312892869225	31.72737176558598
17	15.391234429263292	24.01511002956372
18	14.995123486997029	29.030658866749107
19	14.057501914437413	25.7323432330698
20	15.486641190326273	20.367105123032932
21	14.943261799027333	23.077820790578475
22	13.606819341154628	17.112866955970286
23	12.90009901231693	19.66627866268206
24	14.588640118036771	35.52315021538925
25	14.127865546359981	26.511378907433855
26	14.523883142044005	21.336681009936598
27	15.013158225372097	23.050069937214754
28	14.27242411643756	32.851246252374324
29	13.607940733093061	8.373728761383436
30	14.708062100038926	3.3596848827630548
31	12.312520333055355	41.75913773494682
