ch	mpar	qpar	qthr	ped	pedinj	chgain
0	-0.14304670066926706	216.05137752866023	220.5	155.62	170.03755559141854	0.9518034078722122
1	-0.14055136205283028	216.14651678607962	221.0	139.05	154.69711113915227	1.0012683307988783
2	-0.13848252376911568	216.92521298693302	223.0	109.8	126.33800000727672	1.0139120093727316
3	-0.12141023311065764	215.21915932647994	221.5	125.88	140.47277783625495	0.9485731264393834
4	-0.14445466101515395	214.46582436272033	219.0	151.44	168.98477776466262	0.9974831552416435
5	-0.12012292068164356	215.34777098439162	222.0	100.14	115.51911113085193	0.933848592330676
6	-0.14041532730936687	213.22490656837792	218.5	162.38	178.4623333285507	0.9879310345775392
7	-0.124668031227748	216.92009210245715	224.0	99.71	115.11300002344213	0.9753666264867872
8	-0.1152906799855776	216.36073857749662	224.0	94.79	110.63133335788078	0.9566389212871904
9	-0.12759579928556056	214.72713156788762	220.5	119.51	135.8214444334157	0.960820452067941
10	-0.13733338686742608	213.5999859015864	218.0	155.11	172.38788889236483	0.9794094331493784
11	-0.12770313385598484	215.02183682568142	220.5	118.77	135.68244447273483	0.9877526748665671
12	-0.12066241127980007	212.4659015524066	217.5	157.99	174.29955560734717	0.9238208470751436
13	-0.11548214640282797	214.47061951324088	221.5	116.37	133.31000002021844	0.9453032100639964
14	-0.14301905819756813	215.0830912829269	220.0	126.4	145.066222263279	1.0096313904873957
15	-0.14105101716419638	214.78450026168892	220.0	134.73	151.9707778145934	1.0054894959383662
16	-0.11027422900856411	213.16366884177515	220.0	142.0	158.88622222695508	0.903012286866174
17	-0.13210204944061327	214.6040023221464	220.5	108.0	126.3011110930598	1.00792707128311
18	-0.12282788132401289	214.7024336600757	221.5	118.13	135.9601111617087	0.9742568359590263
19	-0.13038476494949178	214.16766139512177	220.5	105.33	122.04522225260096	0.9743757424777943
20	-0.14417254575166238	215.95485619245162	221.5	116.56	134.97455551762934	1.0364843447864889
21	-0.1419436274537248	214.9753838028137	221.0	124.31	142.07844446971146	1.0044787946342315
22	-0.14747620540623968	213.12654456772904	218.0	149.5	165.67933334263333	1.028220372551661
23	-0.13315287820929292	214.785783610217	220.0	111.73	127.06900001464558	0.9928854535345704
24	-0.1239713730388236	217.544639217901	225.0	97.3	114.6467777860128	1.017459373598196
25	-0.11207898314454079	214.57044773067167	221.0	134.01	150.8088888779548	0.9173602856196484
26	-0.1318114235364839	214.58706382171977	220.0	133.89	151.15977781455885	0.987871580660964
27	-0.1310560546323168	215.35092102421106	221.0	140.79	158.64155555930094	0.971541815225022
28	-0.11938745919232797	216.3793224343433	223.5	105.55	122.52077778411125	0.9525762978975733
29	-0.15670633954890517	209.02162926971062	212.0	196.36	212.54066674565172	1.0009116115819776
30	-0.16831423131530665	208.96813637647975	211.0	185.46	202.9487777646123	1.056460563167681
31	-0.11651095387671866	219.5515263629933	228.0	83.22	97.8603333330028	0.985394371709361
